date,hour,temp,illuminance,violations
2012-08-16,20,18.543421821811513,2658.154170323429,0.0
2012-08-16,21,18.33057559151533,2084.3927763471725,0.08333333333333333
2012-08-16,22,17.795824247250394,1995.6994615339045,0.0
2012-08-16,23,17.178423090984516,1981.4758087152313,0.0
2012-08-17,0,16.699321737700767,1989.9929600216108,0.0
2012-08-17,1,16.36723797547994,1962.990147970893,0.08333333333333333
2012-08-17,2,15.78287587723367,1974.3225371990932,0.08333333333333333
2012-08-17,3,15.399854260921984,1962.0749321720866,0.0
2012-08-17,4,15.125591562464473,1856.4868016720402,0.0
2012-08-17,5,14.681843636773857,2028.9541348606533,0.0
2012-08-17,6,14.572655240300485,2995.863706084849,0.0
2012-08-17,7,14.813642981291402,4588.899282877842,0.0
2012-08-17,8,15.438381716668092,5935.386533807127,0.0
2012-08-17,9,16.847291638263034,8402.539618003078,0.0
2012-08-17,10,18.399175312088698,10074.50781490726,0.0
2012-08-17,11,19.226316471321578,7980.905236029736,0.08333333333333333
2012-08-17,12,19.251265059886972,7872.986905256374,0.16666666666666666
2012-08-17,13,19.406034274652608,5763.84850824382,0.0
2012-08-17,14,19.878433073153882,8803.240037805941,0.16666666666666666
2012-08-17,15,19.59380283796154,7847.0009203478,0.16666666666666666
2012-08-17,16,19.319814573492582,7720.85031112516,0.25
2012-08-17,17,19.770521575855312,6423.224238235777,0.3333333333333333
2012-08-17,18,20.372652927206815,5312.037727836226,0.0
2012-08-17,19,20.17713359839531,4319.10539413429,0.0
2012-08-17,20,18.890807507349066,2574.969169511849,0.0
2012-08-17,21,17.787940797075617,2065.131876914595,0.0
2012-08-17,22,17.01246755023307,2115.154568900722,0.0
2012-08-17,23,16.188348463439556,2047.3909143980075,0.08333333333333333
2012-08-18,0,15.464088762565517,1932.2619938444197,0.08333333333333333
2012-08-18,1,15.112331037745198,1912.7402985650908,0.08333333333333333
2012-08-18,2,14.566046104142417,1896.1543383826786,0.0
2012-08-18,3,13.935398735038914,1972.60789700454,0.0
2012-08-18,4,13.646771592040807,2049.3559369579516,0.08333333333333333
2012-08-18,5,12.7791924502077,2187.446932919752,0.08333333333333333
2012-08-18,6,12.822949023182659,3177.9394767607023,0.0
2012-08-18,7,13.012913788398043,4464.862792719761,0.0
2012-08-18,8,13.823705695926314,6230.217480686053,0.08333333333333333
2012-08-18,9,14.68352603926264,9273.183032342027,0.08333333333333333
2012-08-18,10,16.979247166147697,9648.735294653308,0.08333333333333333
2012-08-18,11,18.648901020174552,9728.352779100866,0.08333333333333333
2012-08-18,12,19.824963564990664,9350.533593464186,0.08333333333333333
2012-08-18,13,20.88135578259865,9300.177258319518,0.0
2012-08-18,14,21.54757616992401,8267.002873924728,0.0
2012-08-18,15,21.85488661850503,7203.483275445519,0.0
2012-08-18,16,20.416734079299452,4755.705766425086,0.0
2012-08-18,17,19.2523745783704,6434.085083616775,0.08333333333333333
2012-08-18,18,20.0780087480566,3944.711683558026,0.0
2012-08-18,19,19.22203591858181,4275.545899646151,0.0
2012-08-18,20,19.084076302194585,2521.8642909602213,0.0
2012-08-18,21,17.753379810934835,2080.719676183924,0.0
2012-08-18,22,16.925066192009307,2096.3052362900607,0.0
2012-08-18,23,16.261861062803415,2038.9354204696783,0.0
2012-08-19,0,15.813298198710989,1940.480048241185,0.08333333333333333
2012-08-19,1,15.84211140444589,1897.8547839563641,0.0
2012-08-19,2,15.688845131441218,1940.1210527358198,0.0
2012-08-19,3,15.748030285397084,1907.87473420082,0.25
2012-08-19,4,15.593451336155818,1988.1104590564667,0.0
2012-08-19,5,15.621733641438153,2011.0272002333622,0.0
2012-08-19,6,15.400063400815334,2907.2174489919003,0.0
2012-08-19,7,15.67636389053775,4620.64222990482,0.08333333333333333
2012-08-19,8,16.67666453583898,6762.063512217774,0.0
2012-08-19,9,16.826491232597284,6154.887114108887,0.0
2012-08-19,10,16.739187616633174,4305.968600704473,0.0
2012-08-19,11,16.83591003654966,5124.405978786247,0.0
2012-08-19,12,16.510792120410276,4682.217942091463,0.0
2012-08-19,13,16.615213594401567,5048.3134687505235,0.0
